Periodo,termo,valor (%)
2024-04-14,Energia Elétrica,45
2024-04-14,Energia Solar,74
2024-04-14,Energia Eólica,10
2024-04-21,Eficiência Energética,4
2024-04-21,Energia Elétrica,40
2024-04-21,Energia Solar,76
2024-04-21,Energia Eólica,8
2024-04-28,Eficiência Energética,3
2024-04-28,Energia Elétrica,36
2024-04-28,Energia Solar,73
2024-04-28,Energia Eólica,8
2024-05-05,Eficiência Energética,3
2024-05-05,Energia Elétrica,42
2024-05-05,Energia Solar,77
2024-05-05,Energia Eólica,8
2024-05-12,Eficiência Energética,3
2024-05-12,Energia Elétrica,41
2024-05-12,Energia Solar,80
2024-05-12,Energia Eólica,10
2024-05-19,Eficiência Energética,3
2024-05-19,Energia Elétrica,38
2024-05-19,Energia Solar,86
2024-05-19,Energia Eólica,10
2024-05-26,Eficiência Energética,3
2024-05-26,Energia Elétrica,33
2024-05-26,Energia Solar,70
2024-05-26,Energia Eólica,7
2024-06-02,Eficiência Energética,4
2024-06-02,Energia Elétrica,44
2024-06-02,Energia Solar,81
2024-06-02,Energia Eólica,10
2024-06-09,Eficiência Energética,5
2024-06-09,Energia Elétrica,42
2024-06-09,Energia Solar,77
2024-06-09,Energia Eólica,11
2024-06-16,Eficiência Energética,4
2024-06-16,Energia Elétrica,44
2024-06-16,Energia Solar,81
2024-06-16,Energia Eólica,10
2024-06-23,Eficiência Energética,4
2024-06-23,Energia Elétrica,37
2024-06-23,Energia Solar,74
2024-06-23,Energia Eólica,7
2024-06-30,Eficiência Energética,2
2024-06-30,Energia Elétrica,32
2024-06-30,Energia Solar,68
2024-06-30,Energia Eólica,5
2024-07-07,Eficiência Energética,2
2024-07-07,Energia Elétrica,29
2024-07-07,Energia Solar,67
2024-07-07,Energia Eólica,5
