Periodo,termo,valor (%)
2020-04-12,Energia Elétrica,47
2020-04-12,Energia Solar,33
2020-04-12,Energia Eólica,5
2020-04-19,Eficiência Energética,1
2020-04-19,Energia Elétrica,33
2020-04-19,Energia Solar,39
2020-04-19,Energia Eólica,5
2020-04-26,Eficiência Energética,1
2020-04-26,Energia Elétrica,36
2020-04-26,Energia Solar,38
2020-04-26,Energia Eólica,5
2020-05-03,Eficiência Energética,1
2020-05-03,Energia Elétrica,41
2020-05-03,Energia Solar,42
2020-05-03,Energia Eólica,6
2020-05-10,Eficiência Energética,1
2020-05-10,Energia Elétrica,42
2020-05-10,Energia Solar,46
2020-05-10,Energia Eólica,7
2020-05-17,Eficiência Energética,2
2020-05-17,Energia Elétrica,43
2020-05-17,Energia Solar,48
2020-05-17,Energia Eólica,8
2020-05-24,Eficiência Energética,1
2020-05-24,Energia Elétrica,47
2020-05-24,Energia Solar,48
2020-05-24,Energia Eólica,7
2020-05-31,Eficiência Energética,1
2020-05-31,Energia Elétrica,40
2020-05-31,Energia Solar,51
2020-05-31,Energia Eólica,7
2020-06-07,Eficiência Energética,1
2020-06-07,Energia Elétrica,35
2020-06-07,Energia Solar,42
2020-06-07,Energia Eólica,6
2020-06-14,Eficiência Energética,1
2020-06-14,Energia Elétrica,39
2020-06-14,Energia Solar,49
2020-06-14,Energia Eólica,7
2020-06-21,Eficiência Energética,1
2020-06-21,Energia Elétrica,40
2020-06-21,Energia Solar,48
2020-06-21,Energia Eólica,7
2020-06-28,Eficiência Energética,1
2020-06-28,Energia Elétrica,39
2020-06-28,Energia Solar,46
2020-06-28,Energia Eólica,7
2020-07-05,Eficiência Energética,1
2020-07-05,Energia Elétrica,36
2020-07-05,Energia Solar,47
2020-07-05,Energia Eólica,6
2020-07-12,Eficiência Energética,1
2020-07-12,Energia Elétrica,37
2020-07-12,Energia Solar,45
2020-07-12,Energia Eólica,6
2020-07-19,Eficiência Energética,1
2020-07-19,Energia Elétrica,35
2020-07-19,Energia Solar,51
2020-07-19,Energia Eólica,5
2020-07-26,Eficiência Energética,1
2020-07-26,Energia Elétrica,32
2020-07-26,Energia Solar,53
2020-07-26,Energia Eólica,5
2020-08-02,Eficiência Energética,1
2020-08-02,Energia Elétrica,30
2020-08-02,Energia Solar,50
2020-08-02,Energia Eólica,6
2020-08-09,Eficiência Energética,1
2020-08-09,Energia Elétrica,32
2020-08-09,Energia Solar,49
2020-08-09,Energia Eólica,6
2020-08-16,Eficiência Energética,1
2020-08-16,Energia Elétrica,33
2020-08-16,Energia Solar,50
2020-08-16,Energia Eólica,6
2020-08-23,Eficiência Energética,1
2020-08-23,Energia Elétrica,35
2020-08-23,Energia Solar,50
2020-08-23,Energia Eólica,8
2020-08-30,Eficiência Energética,1
2020-08-30,Energia Elétrica,35
2020-08-30,Energia Solar,51
2020-08-30,Energia Eólica,8
2020-09-06,Eficiência Energética,1
2020-09-06,Energia Elétrica,31
2020-09-06,Energia Solar,48
2020-09-06,Energia Eólica,5
2020-09-13,Eficiência Energética,1
2020-09-13,Energia Elétrica,35
2020-09-13,Energia Solar,57
2020-09-13,Energia Eólica,6
2020-09-20,Eficiência Energética,1
2020-09-20,Energia Elétrica,39
2020-09-20,Energia Solar,54
2020-09-20,Energia Eólica,7
2020-09-27,Eficiência Energética,1
2020-09-27,Energia Elétrica,38
2020-09-27,Energia Solar,54
2020-09-27,Energia Eólica,7
2020-10-04,Eficiência Energética,1
2020-10-04,Energia Elétrica,36
2020-10-04,Energia Solar,60
2020-10-04,Energia Eólica,7
2020-10-11,Eficiência Energética,1
2020-10-11,Energia Elétrica,27
2020-10-11,Energia Solar,49
2020-10-11,Energia Eólica,6
2020-10-18,Eficiência Energética,1
2020-10-18,Energia Elétrica,37
2020-10-18,Energia Solar,51
2020-10-18,Energia Eólica,6
2020-10-25,Eficiência Energética,1
2020-10-25,Energia Elétrica,37
2020-10-25,Energia Solar,51
2020-10-25,Energia Eólica,7
2020-11-01,Eficiência Energética,1
2020-11-01,Energia Elétrica,37
2020-11-01,Energia Solar,52
2020-11-01,Energia Eólica,7
2020-11-08,Eficiência Energética,1
2020-11-08,Energia Elétrica,42
2020-11-08,Energia Solar,52
2020-11-08,Energia Eólica,7
2020-11-15,Eficiência Energética,1
2020-11-15,Energia Elétrica,36
2020-11-15,Energia Solar,52
2020-11-15,Energia Eólica,7
2020-11-22,Eficiência Energética,1
2020-11-22,Energia Elétrica,44
2020-11-22,Energia Solar,59
2020-11-22,Energia Eólica,9
2020-11-29,Eficiência Energética,1
2020-11-29,Energia Elétrica,47
2020-11-29,Energia Solar,60
2020-11-29,Energia Eólica,8
2020-12-06,Eficiência Energética,2
2020-12-06,Energia Elétrica,38
2020-12-06,Energia Solar,51
2020-12-06,Energia Eólica,7
2020-12-13,Eficiência Energética,1
2020-12-13,Energia Elétrica,35
2020-12-13,Energia Solar,48
2020-12-13,Energia Eólica,6
2020-12-20,Eficiência Energética,1
